target,model1,model2,freeze,fold,prob,value
thyroid,ImageNet,RadImageNet,freezeFalse,fold1,rand,0.542534710632431
thyroid,ImageNet,RadImageNet,freezeFalse,fold2,real,0.78125
thyroid,ImageNet,RadImageNet,freezeFalse,fold2,rand,0.542534710632431
thyroid,ImageNet,RadImageNet,freezeFalse,fold3,real,0.34375
thyroid,ImageNet,RadImageNet,freezeFalse,fold3,rand,0.5
thyroid,ImageNet,RadImageNet,freezeFalse,fold4,real,0.5625
thyroid,ImageNet,RadImageNet,freezeFalse,fold4,rand,0.5002170134749679
thyroid,ImageNet,RadImageNet,freezeFalse,fold5,real,0.8333333333333334
thyroid,ImageNet,RadImageNet,freezeFalse,fold5,rand,0.5555555489328174
thyroid,ImageNet,RadImageNet,freezeTrue,fold1,real,0.34375
thyroid,ImageNet,RadImageNet,freezeTrue,fold1,rand,0.5262586714492912
thyroid,ImageNet,RadImageNet,freezeTrue,fold2,real,0.8333333333333334
thyroid,ImageNet,RadImageNet,freezeTrue,fold2,rand,0.5262586714492912
thyroid,ImageNet,RadImageNet,freezeTrue,fold3,real,0.7291666666666666
thyroid,ImageNet,RadImageNet,freezeTrue,fold3,rand,0.517578125
thyroid,ImageNet,RadImageNet,freezeTrue,fold4,real,0.09375
thyroid,ImageNet,RadImageNet,freezeTrue,fold4,rand,0.5138888822661514
thyroid,ImageNet,RadImageNet,freezeTrue,fold5,real,0.15625
thyroid,ImageNet,RadImageNet,freezeTrue,fold5,rand,0.5217013971673126
knee,ImageNet,RadImageNet,freezeFalse,fold1,real,0.845933014354067
knee,ImageNet,RadImageNet,freezeFalse,fold1,rand,0.7721737179275081
knee,ImageNet,RadImageNet,freezeFalse,fold2,real,0.9311004784688995
knee,ImageNet,RadImageNet,freezeFalse,fold2,rand,0.8177074442420462
knee,ImageNet,RadImageNet,freezeFalse,fold3,real,0.9272030651340997
knee,ImageNet,RadImageNet,freezeFalse,fold3,rand,0.7921290812332984
knee,ImageNet,RadImageNet,freezeFalse,fold4,real,0.9147509578544061
knee,ImageNet,RadImageNet,freezeFalse,fold4,rand,0.8175525720442067
knee,ImageNet,RadImageNet,freezeFalse,fold5,real,0.9109195402298851
knee,ImageNet,RadImageNet,freezeFalse,fold5,rand,0.780532073753939
knee,ImageNet,RadImageNet,freezeTrue,fold1,real,0.8593301435406698
knee,ImageNet,RadImageNet,freezeTrue,fold1,rand,0.7693568892056604
knee,ImageNet,RadImageNet,freezeTrue,fold2,real,0.8181818181818182
knee,ImageNet,RadImageNet,freezeTrue,fold2,rand,0.7807119382397971
knee,ImageNet,RadImageNet,freezeTrue,fold3,real,0.8055555555555556
knee,ImageNet,RadImageNet,freezeTrue,fold3,rand,0.7417921548019493
knee,ImageNet,RadImageNet,freezeTrue,fold4,real,0.7806513409961686
knee,ImageNet,RadImageNet,freezeTrue,fold4,rand,0.7935952104700164
knee,ImageNet,RadImageNet,freezeTrue,fold5,real,0.8630268199233716
knee,ImageNet,RadImageNet,freezeTrue,fold5,rand,0.7677662014896498
mammograms,ImageNet,RadImageNet,freezeFalse,fold1,real,0.5952380952380952
mammograms,ImageNet,RadImageNet,freezeFalse,fold1,rand,0.5296942416191044
mammograms,ImageNet,RadImageNet,freezeFalse,fold2,real,0.6288515406162465
mammograms,ImageNet,RadImageNet,freezeFalse,fold2,rand,0.5270265075091132
mammograms,ImageNet,RadImageNet,freezeFalse,fold3,real,0.6162464985994398
mammograms,ImageNet,RadImageNet,freezeFalse,fold3,rand,0.5094194611142768
mammograms,ImageNet,RadImageNet,freezeFalse,fold4,real,0.6044880785413744
mammograms,ImageNet,RadImageNet,freezeFalse,fold4,rand,0.5261316019406195
mammograms,ImageNet,RadImageNet,freezeFalse,fold5,real,0.6858345021037868
mammograms,ImageNet,RadImageNet,freezeFalse,fold5,rand,0.5351329382111771
mammograms,ImageNet,RadImageNet,freezeTrue,fold1,real,0.6554621848739496
mammograms,ImageNet,RadImageNet,freezeTrue,fold1,rand,0.5392313741492956
mammograms,ImageNet,RadImageNet,freezeTrue,fold2,real,0.7086834733893558
mammograms,ImageNet,RadImageNet,freezeTrue,fold2,rand,0.5203375443589948
mammograms,ImageNet,RadImageNet,freezeTrue,fold3,real,0.6120448179271709
mammograms,ImageNet,RadImageNet,freezeTrue,fold3,rand,0.5346648421983176
mammograms,ImageNet,RadImageNet,freezeTrue,fold4,real,0.5511921458625526
mammograms,ImageNet,RadImageNet,freezeTrue,fold4,rand,0.5381701075191643
mammograms,ImageNet,RadImageNet,freezeTrue,fold5,real,0.5680224403927069
mammograms,ImageNet,RadImageNet,freezeTrue,fold5,rand,0.5454640177350711
